starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 21 16:24:56 2022	1647854696	0	1628	1628	1628
Mon Mar 21 16:25:03 2022	1647854703	0	1630	1630	1629
Mon Mar 21 16:24:47 2022	1647854687	0	1631	1631	1631
Mon Mar 21 16:24:57 2022	1647854697	0	1634	1634	1633
Mon Mar 21 16:25:00 2022	1647854700	0	1634	1634	1633
Mon Mar 21 16:24:56 2022	1647854696	0	1634	1634	1634
Mon Mar 21 16:24:56 2022	1647854696	0	1636	1637	1636
Mon Mar 21 16:24:54 2022	1647854694	0	1637	1637	1637
Mon Mar 21 16:24:52 2022	1647854692	0	1638	1639	1638
Mon Mar 21 16:24:46 2022	1647854686	0	1640	1640	1640
Mon Mar 21 16:24:46 2022	1647854686	0	1640	1641	1640
Mon Mar 21 16:24:56 2022	1647854696	0	1641	1641	1640
Mon Mar 21 16:24:56 2022	1647854696	0	1641	1641	1641
Mon Mar 21 16:24:52 2022	1647854692	0	1641	1642	1641
Mon Mar 21 16:24:52 2022	1647854692	0	1643	1643	1643
Mon Mar 21 16:24:52 2022	1647854692	0	1645	1645	1644
Mon Mar 21 16:24:56 2022	1647854696	0	1646	1646	1645
Mon Mar 21 16:24:48 2022	1647854688	0	1646	1646	1646
Mon Mar 21 16:24:52 2022	1647854692	0	1647	1647	1646
Mon Mar 21 16:24:54 2022	1647854694	0	1648	1648	1647
Mon Mar 21 16:24:56 2022	1647854696	0	1648	1648	1647
Mon Mar 21 16:24:57 2022	1647854697	0	1648	1649	1647
Mon Mar 21 16:24:58 2022	1647854698	0	1649	1649	1648
Mon Mar 21 16:24:49 2022	1647854689	0	1649	1649	1649
Mon Mar 21 16:24:53 2022	1647854693	0	1651	1651	1650
Mon Mar 21 16:24:43 2022	1647854683	3	1649	1652	1649
Mon Mar 21 16:24:48 2022	1647854688	0	1652	1653	1652
Mon Mar 21 16:24:45 2022	1647854685	0	1653	1653	1653
Mon Mar 21 16:24:47 2022	1647854687	0	1654	1654	1653
Mon Mar 21 16:25:08 2022	1647854708	0	1654	1654	1653
Mon Mar 21 16:24:52 2022	1647854692	0	1654	1654	1654
Mon Mar 21 16:24:53 2022	1647854693	0	1654	1655	1654
Mon Mar 21 16:24:52 2022	1647854692	0	1655	1655	1654
Mon Mar 21 16:24:53 2022	1647854693	0	1658	1658	1657
Mon Mar 21 16:24:52 2022	1647854692	0	1658	1658	1657
Mon Mar 21 16:24:52 2022	1647854692	0	1659	1659	1658
Mon Mar 21 16:24:57 2022	1647854697	0	1661	1661	1660
Mon Mar 21 16:24:52 2022	1647854692	0	1661	1662	1661
Mon Mar 21 16:25:02 2022	1647854702	0	1661	1662	1661
Mon Mar 21 16:24:53 2022	1647854693	0	1662	1662	1661
Mon Mar 21 16:24:56 2022	1647854696	0	1662	1662	1661
Mon Mar 21 16:24:45 2022	1647854685	0	1663	1663	1662
Mon Mar 21 16:25:03 2022	1647854703	0	1663	1663	1663
Mon Mar 21 16:24:52 2022	1647854692	0	1663	1663	1663
Mon Mar 21 16:24:52 2022	1647854692	0	1665	1665	1664
Mon Mar 21 16:24:45 2022	1647854685	0	1665	1666	1664
Mon Mar 21 16:24:56 2022	1647854696	0	1668	1669	1668
Mon Mar 21 16:24:57 2022	1647854697	0	1671	1671	1671
Mon Mar 21 16:24:56 2022	1647854696	0	1673	1673	1672
Mon Mar 21 16:24:53 2022	1647854693	0	1673	1673	1673
Mon Mar 21 16:24:55 2022	1647854695	0	1674	1674	1673
Mon Mar 21 16:24:59 2022	1647854699	0	1678	1678	1677
Mon Mar 21 16:24:53 2022	1647854693	0	1680	1680	1679
Mon Mar 21 16:24:53 2022	1647854693	0	1683	1683	1683
Mon Mar 21 16:24:48 2022	1647854688	0	1684	1685	1684
Mon Mar 21 16:24:52 2022	1647854692	0	1688	1688	1687
Mon Mar 21 16:24:48 2022	1647854688	0	1691	1691	1690
Mon Mar 21 16:24:54 2022	1647854694	0	1691	1692	1691
Mon Mar 21 16:24:53 2022	1647854693	0	1692	1692	1691
Mon Mar 21 16:24:52 2022	1647854692	0	1694	1695	1694
Mon Mar 21 16:24:48 2022	1647854688	0	1695	1695	1694
Mon Mar 21 16:24:54 2022	1647854694	0	1695	1695	1694
Mon Mar 21 16:24:56 2022	1647854696	0	1695	1696	1695
Mon Mar 21 16:24:53 2022	1647854693	0	1696	1697	1696
Mon Mar 21 16:24:53 2022	1647854693	0	1697	1697	1696
Mon Mar 21 16:24:57 2022	1647854697	0	1698	1698	1697
Mon Mar 21 16:24:55 2022	1647854695	0	1700	1700	1699
